timestamp,commit,message,duration_s,input_tokens,output_tokens,cost_usd
2026-04-08T09:36:41Z,b1d3423,"Show plugin name in plan display",224,44,8879,1.6917815000000003
2026-04-08T09:40:46Z,1dcaf0d,"Deny package add when directory already exists",241,108,16205,1.5005865000000003
2026-04-08T09:44:27Z,0a6fcc1,"Enhance package remove to accept multiple packages",216,38,7779,1.2855109999999998
2026-04-08T10:18:41Z,8acc72f,"Rename CLI argument placeholders: plugin name→plugin, repo name→repo",2050,41,14558,2.0928188000000003
2026-04-08T10:20:39Z,0d0d2d7,"Keep plugin directory on remove, consistent with package remove",113,26,4393,0.68636575
2026-04-08T10:22:02Z,2a271f2,"Guard repo remove against deleting the default repository",80,104,2778,0.5815692499999999
2026-04-08T10:24:36Z,71acabc,"Rename actions_overrides to script_aliases across the codebase",150,28,5669,0.9554927500000001
2026-04-08T10:28:48Z,3ef46a6,"Add --script-aliases option to homeos package add",246,121,9522,1.7726217500000008
2026-04-08T10:32:59Z,b20bdf8,"Implement homeos package add-alias and remove-alias commands",247,41,10356,1.4118730000000002
2026-04-08T10:34:36Z,f3b943b,"Mark homeos package remove-alias task as complete",94,94,3305,0.5814547499999999
2026-04-08T10:37:41Z,cda35d3,"Generate skeleton scripts for all OS in package add",180,40,7093,0.9835927499999996
2026-04-08T10:40:24Z,c844079,"Change package cat to display all script files for all OS",160,31,7418,0.881893
2026-04-08T11:26:12Z,479f4d0,"Fix PackageConfig::default() to set enabled to true",139,102,5523,0.8080115000000001
2026-04-08T11:28:40Z,9898033,"Add confirmation prompt to homeos repo remove",144,24,6928,0.7491207499999999
2026-04-08T12:19:57Z,cefc400,"Allow repo add without URL to create an empty local repository",203,24,6422,0.98097675
2026-04-08T12:24:43Z,cc9feff,"Implement homeos repo cd to launch a shell in a repository directory",281,927,10264,1.5855838999999994
2026-04-08T12:26:59Z,0f821c0,"Change homeos cd to launch a shell in the base directory",132,28,4615,0.9191214999999999
2026-04-08T13:25:10Z,8d7f19d,"Change homeos cd target from base directory to repos directory",133,26,5091,0.8976424999999996
2026-04-09T02:21:10Z,6c19631,"Change execute_script from .output() to .status() for terminal interaction",771,83,57227,6.151466499999998
2026-04-09T02:50:55Z,0a816d0,"Add confirmation prompts for package and plugin remove to PRD",387,54,14567,1.9715827499999996
2026-04-09T02:54:44Z,f3d6b97,"Add --purge flag to package remove and plugin remove",225,49,10010,1.3406214999999997
2026-04-09T03:02:06Z,c897f55,"Add confirmation prompt to package remove",438,55,18258,2.1894187500000006
2026-04-09T03:05:19Z,9256d60,"Add confirmation prompt to plugin remove",189,109,8870,1.0707264999999997
2026-04-09T03:19:42Z,1d60342,"Add newline before script output and update done/FAILED to own line",260,30,4950,0.6669085000000001
2026-04-13T06:38:45Z,08f7026,"Error on existing repo directory in homeos init scaffold mode",168,25,5706,0.9610197500000003
2026-04-13T06:44:54Z,eeddb79,"Unify plan display for all commands with Nothing to do message",363,35,16348,1.62783925
2026-04-13T06:49:18Z,ba7fbd0,"Change script execution output order to show error before FAILED",259,52,11596,1.6821337499999998
2026-04-13T06:53:00Z,a4e37d2,"Change Some packages failed to stdout with exit code 0",217,43,8693,1.7809562499999998
2026-04-13T06:55:22Z,599fced,"Change homeos init "Already initialized" from stdout to stderr error",137,22,5254,0.76939425
2026-04-13T06:56:51Z,e60818f,"Append ". Cloned directory removed." to homeos init error message",82,18,2844,0.5852692500000001
2026-04-13T06:58:44Z,e7a3ab0,"Append ". Cloned directory removed." to homeos plugin add error message",108,4166,3598,0.686406
2026-04-13T07:00:12Z,4d4635e,"Mark homeos cd error message task complete (already implemented)",83,17,3262,0.5357339999999999
2026-04-13T07:20:09Z,5b7c7bc,"Show table headers even when list commands have no entries",214,23,6945,0.9998204
2026-04-13T07:21:58Z,8d7b990,"Add existence check for homeos.yml in Config::load",104,19,3734,0.709601
2026-04-13T07:25:39Z,d940560,"Change package add options from num_args to action = Append",216,31,7105,1.0825502499999997
2026-04-14T05:02:17Z,dfa8736,"Change "deleted directory" to "removed directory" in purge output messages",153,27,5687,0.9546235000000001
2026-04-14T05:06:12Z,f4fdabd,"Add Dependencies column to package list table output",229,30,7780,1.1093345000000001
2026-04-14T05:15:29Z,71a9957,"Implement reverse dependency expansion for package uninstall",553,58,21761,2.9355349999999993
2026-04-14T05:19:06Z,7dc3170,"Implement homeos package info command",211,33,7709,1.4646554999999997
2026-04-14T06:28:00Z,8161fa2,"Add dependency target validation for add-dep and add --depends-on",220,30,8162,1.34733025
2026-04-14T06:31:44Z,fb7357b,"Add circular dependency check for add-dep and add --depends-on",214,38,9316,1.3648422500000004
2026-04-14T06:34:20Z,2774138,"Add Scripts section to homeos package info output",151,956,6333,0.9833832499999999
2026-04-14T06:37:42Z,4274f7c,"Change add-dep messages to match command argument order",196,39,7828,1.2491002499999997
2026-04-14T06:40:21Z,55e5fe1,"Change remove-dep messages to match command argument order",153,31,6177,0.9993145
2026-04-14T06:42:54Z,e3eceb6,"Create plugins/ directory during homeos init",116,24,3952,0.7753355000000001
2026-04-15T23:35:02Z,db556ca,"Handle circular dependencies gracefully in apply, install, and uninstall",579,84,26659,4.89942695
2026-04-19T12:44:19Z,16b06fa,"Extract git clone into a shared helper",185,45,9736,2.512451
2026-04-19T12:46:37Z,7481b6e,"Add --version/-V flag to homeos CLI",133,245,6829,1.6179572500000001
2026-04-19T12:53:09Z,e23b714,"Split commands/plugin.rs into registry and view submodules",388,35,36787,3.06606325
2026-04-19T12:56:29Z,ebcfaf1,"Implement homeos package rename",195,40,11543,2.3334437500000003
2026-04-19T13:05:08Z,4210c88,"Add --dry-run flag for apply/install/update/uninstall",510,74,34821,5.1388257500000005
2026-05-08T08:34:17Z,3284431,"Make PluginConfig.url Option<String>",268,53,14824,3.5890624999999994
2026-05-10T06:24:22Z,b321791,"Replace reqwest with ureq as the HTTP client",210,31,11860,1.9306675
2026-05-11T08:49:25Z,0ccc5a5,"Use dirs::data_local_dir() for Windows correctness",106,27,6148,1.1882297499999999
2026-05-12T08:55:40Z,914d4a8,"Annotate forward-dep packages with "(required by X)" in install plan",411,55,32745,5.1978670000000005
2026-05-12T09:31:02Z,a3c1adf,"Surface intra-set dependency notes in homeos apply plan",332,43,30798,3.8815089999999994
